gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000147251,622.175328,0.570610115,0.139848795,4.08019329,4.49983E-05,0.00538729,0.890250356,DOCK11,139818,0.479238511,Up*
ENSG00000147655,341.7470547,-1.268848675,0.344835889,-3.679572556,0.000233625,0.018034593,1.063691227,RSPO2,340419,-0.759191854,Down*
ENSG00000147813,91.72853725,0.620597082,0.216089626,2.871942963,0.004079566,0.089911799,2.078494794,NAPRT,93100,0.21872492,Up*
ENSG00000148204,874.7463383,-0.532708728,0.14410065,-3.696782281,0.000218349,0.039886813,0.359174829,CRB2,286204,-0.40203782,Down*
ENSG00000148942,75.59486889,-0.868344134,0.282380031,-3.075090445,0.002104387,0.057843225,2.078494794,SLC5A12,159963,-0.319213399,Down*
ENSG00000151466,220.5628512,-0.537253911,0.177072712,-3.034086427,0.002412653,0.063165407,2.078494794,SCLT1,132320,-0.247343929,Down*
ENSG00000151575,533.1850189,-0.475455006,0.147650621,-3.220135505,0.0012813,0.08375042,0.728656052,TEX9,374618,-0.271650554,Down*
ENSG00000151952,236.479108,-1.034006697,0.313954843,-3.293488597,0.000989524,0.034129439,2.017914586,TMEM132D,121256,-0.448263945,Down*
ENSG00000152229,173.3714058,-0.657740694,0.206024292,-3.192539516,0.001410276,0.066492124,1.132156386,PSTPIP2,9050,-0.329098784,Down*
ENSG00000152784,280.84924,-1.706421986,0.500354337,-3.41042709,0.000648612,0.044704207,0.902601561,PRDM8,56978,-0.722905481,Down*
ENSG00000153822,159.2020646,-1.561901663,0.417838523,-3.738050891,0.000185452,0.009003968,2.011375801,KCNJ16,3773,-0.969579967,Down*
ENSG00000154162,86.96072131,0.943484423,0.308649809,3.05681195,0.002237046,0.058156657,2.187691391,CDH12,1010,0.317952312,Up*
ENSG00000154330,42.89040521,-1.203633325,0.374004074,-3.218235865,0.001289817,0.035785904,2.43456659,PGM5,5239,-0.432842469,Down*
ENSG00000154478,35.79360872,-1.400421868,0.449370346,-3.116409175,0.001830681,0.05246113,2.078494794,GPR26,2849,-0.398903734,Down*
ENSG00000154620,45.36395606,-4.05026642,0.550040115,-7.363583693,1.79037E-13,5.81605E-11,2.154407114,TMSB4Y,9087,-3.833063046,Down*
ENSG00000154920,99.57659361,-0.546940348,0.190672471,-2.868480942,0.00412448,0.088503274,2.154407114,EME1,146956,-0.205678295,Down*
ENSG00000156253,152.9934045,2.096318956,0.389736333,5.378813255,7.49784E-08,8.90211E-06,2.187691391,RWDD2B,10069,2.001055716,Up*
ENSG00000157379,279.2447108,0.357677274,0.10778929,3.318300679,0.000905669,0.0600832,0.845833024,DHRS1,115817,0.228105919,Up*
ENSG00000157404,275.6319777,0.566931528,0.165042545,3.435062924,0.000592416,0.041653811,0.902601561,KIT,3815,0.367446492,Up*
ENSG00000157502,175.0368635,0.69330041,0.156372862,4.433636373,9.26569E-06,0.000701977,2.078494794,PWWP3B,139221,0.600609244,Up*
ENSG00000157514,1039.729847,0.646379704,0.110835947,5.831859798,5.4813E-09,3.21834E-06,0.498961552,TSC22D3,1831,0.604860971,Up*
ENSG00000157600,1384.687078,0.503377592,0.144884335,3.474341043,0.00051211,0.072718433,0.359174829,TMEM164,84187,0.341930164,Up*
ENSG00000158163,161.7018418,-0.592730675,0.179454758,-3.302953248,0.000956723,0.033289328,2.011375801,DZIP1L,199221,-0.342922959,Down*
ENSG00000158623,974.8298304,-0.928410715,0.085508019,-10.85758657,1.83536E-27,1.02628E-23,0.409614407,COPG2,26958,-0.904553467,Down*
ENSG00000158715,59.59956929,-0.841533067,0.239361112,-3.515746815,0.000438519,0.017543295,2.078494794,SLC45A3,85414,-0.506142837,Down*
ENSG00000158859,20.61632713,-2.308439682,0.574942564,-4.015078771,5.94259E-05,0.007210127,0.858088624,ADAMTS4,9507,-1.786511652,Down*
